State,District,Year,Crop,Season,Area,Production,Yield,Annual_Rainfall,Fertilizer
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Arhar/Tur,Kharif,1834.0,739.0,0.4,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Bajra,Kharif,5.0,4.0,0.8,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Barley,Kharif,286.0,466.0,1.63,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Gram,Rabi,41916.0,27026.0,0.64,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Groundnut,Kharif,1077.0,1138.0,1.06,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Jowar,Kharif,2750.0,3347.0,1.22,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Linseed,Rabi,33.0,25.0,0.76,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Maize,Kharif,15270.0,16578.0,1.09,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Masoor,Rabi,7170.0,3886.0,0.54,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Moong(Green Gram),Kharif,424.0,143.0,0.34,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Other Rabi pulses,Rabi,23.0,7.0,0.3,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Other Kharif pulses,Kharif,55.0,3.0,0.05,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Peas & beans (Pulses),Rabi,255.0,147.0,0.58,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Rapeseed &Mustard,Rabi,5205.0,4828.0,0.93,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Rice,Kharif,2.0,1.0,0.5,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Sannhamp,Kharif,21.0,50.0,2.38,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Soyabean,Kharif,137322.0,80718.0,0.59,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Urad,Kharif,1892.0,687.0,0.36,1000,50
1. Madhya Pradesh,1. Agar malwa,2013 - 2014,Wheat,Rabi,40434.0,91502.0,2.26,1000,50
,,2014 - 2015,Arhar/Tur,Kharif,6000.0,4000.0,0.67,1000,50
,,2014 - 2015,Bajra,Kharif,2000.0,3000.0,1.5,1000,50
,,2014 - 2015,Barley,Kharif,1000.0,1000.0,1.0,1000,50
,,2014 - 2015,Gram,Rabi,64000.0,97000.0,1.52,1000,50
,,2014 - 2015,Groundnut,Kharif,1000.0,1000.0,1.0,1000,50
,,2014 - 2015,Jowar,Kharif,6000.0,0.0,0.0,1000,50
,,2014 - 2015,Maize,Kharif,25000.0,50000.0,2.0,1000,50
,,2014 - 2015,Moong(Green Gram),Kharif,2000.0,1000.0,0.5,1000,50
,,2014 - 2015,Rapeseed &Mustard,Rabi,4000.0,3000.0,0.75,1000,50
,,2014 - 2015,Urad,Kharif,9000.0,3000.0,0.33,1000,50
,,2014 - 2015,Wheat,Rabi,47000.0,121000.0,2.57,1000,50
,,2015 - 2016,Arhar/Tur,Kharif,2000.0,3000.0,1.5,1000,50
,,2015 - 2016,Gram,Rabi,39000.0,39000.0,1.0,1000,50
,,2015 - 2016,Groundnut,Kharif,1000.0,1000.0,1.0,1000,50
,,2015 - 2016,Jowar,Kharif,5000.0,6000.0,1.2,1000,50
,,2015 - 2016,Maize,Kharif,24000.0,31000.0,1.29,1000,50
,,2015 - 2016,Masoor,Rabi,8000.0,7000.0,0.88,1000,50
,,2015 - 2016,Moong(Green Gram),Kharif,2000.0,1000.0,0.5,1000,50
,,2015 - 2016,Peas & beans (Pulses),Rabi,1000.0,1000.0,1.0,1000,50
,,2015 - 2016,Rapeseed &Mustard,Rabi,7000.0,5000.0,0.71,1000,50
,,2015 - 2016,Soyabean,Kharif,129000.0,98000.0,0.76,1000,50
,,2015 - 2016,Urad,Kharif,14000.0,8000.0,0.57,1000,50
,,2015 - 2016,Wheat,Rabi,45000.0,171000.0,3.8,1000,50
,,2016 - 2017,Arhar/Tur,Kharif,4000.0,4000.0,1.0,1000,50
,,2016 - 2017,Gram,Rabi,55000.0,54000.0,0.98,1000,50
,,2016 - 2017,Groundnut,Kharif,1000.0,1000.0,1.0,1000,50
,,2016 - 2017,Jowar,Kharif,4000.0,7000.0,1.75,1000,50
,,2016 - 2017,Maize,Kharif,20000.0,39000.0,1.95,1000,50
,,2016 - 2017,Moong(Green Gram),Kharif,6000.0,4000.0,0.67,1000,50
,,2016 - 2017,Rapeseed &Mustard,Rabi,7000.0,10000.0,1.43,1000,50
,,2016 - 2017,Soyabean,Kharif,133000.0,171000.0,1.29,1000,50
,,2016 - 2017,Urad,Kharif,5000.0,4000.0,0.8,1000,50
,,2016 - 2017,Wheat,Rabi,50000.0,181000.0,3.62,1000,50
,,2017 - 2018,Arhar/Tur,Kharif,1900.0,1900.0,1.0,1000,50
,,2017 - 2018,Gram,Rabi,55100.0,82650.0,1.5,1000,50
,,2017 - 2018,Jowar,Kharif,800.0,1490.0,1.86,1000,50
,,2017 - 2018,Linseed,Rabi,240.0,190.0,0.79,1000,50
,,2017 - 2018,Maize,Kharif,18300.0,65880.0,3.6,1000,50
,,2017 - 2018,Masoor,Rabi,12000.0,14400.0,1.2,1000,50
,,2017 - 2018,Moong(Green Gram),Kharif,9800.0,7840.0,0.8,1000,50
,,2017 - 2018,Peas & beans (Pulses),Rabi,810.0,1130.0,1.4,1000,50
,,2017 - 2018,Rapeseed &Mustard,Rabi,10300.0,11330.0,1.1,1000,50
,,2017 - 2018,Soyabean,Kharif,113390.0,147410.0,1.3,1000,50
,,2017 - 2018,Urad,Kharif,21600.0,16200.0,0.75,1000,50
,,2017 - 2018,Wheat,Rabi,46000.0,184000.0,4.0,1000,50
,,2018 - 2019,Arhar/Tur,Kharif,553.0,526.0,0.95,1000,50
,,2018 - 2019,Bajra,Kharif,12.0,13.0,1.08,1000,50
,,2018 - 2019,Barley,Kharif,48.0,45.0,0.94,1000,50
,,2018 - 2019,Gram,Rabi,48638.0,36868.0,0.76,1000,50
,,2018 - 2019,Groundnut,Kharif,578.0,334.0,0.58,1000,50
,,2018 - 2019,Jowar,Kharif,286.0,336.0,1.17,1000,50
,,2018 - 2019,Linseed,Rabi,134.0,58.0,0.43,1000,50
,,2018 - 2019,Maize,Kharif,3370.0,3035.0,0.9,1000,50
,,2018 - 2019,Masoor,Rabi,11082.0,4411.0,0.4,1000,50
,,2018 - 2019,Moong(Green Gram),Kharif,338.0,114.0,0.34,1000,50
,,2018 - 2019,Peas & beans (Pulses),Rabi,22.0,6.0,0.27,1000,50
,,2018 - 2019,Rapeseed &Mustard,Rabi,3521.0,1239.0,0.35,1000,50
,,2018 - 2019,Rice,Kharif,286.0,286.0,1.0,1000,50
,,2018 - 2019,Soyabean,Kharif,166167.0,139248.0,0.84,1000,50
,,2018 - 2019,Urad,Kharif,12361.0,4376.0,0.35,1000,50
,,2018 - 2019,Wheat,Rabi,74218.0,155914.0,2.1,1000,50
,,2018 - 2019,Castor seed,Kharif,1.0,,0.0,1000,50
,,2018 - 2019,Jute,Kharif,4.0,,,1000,50
,,2018 - 2019,Niger seed,Kharif,8.0,2.0,0.25,1000,50
,,2019 - 2020,Arhar/Tur,Kharif,112.0,39.0,0.35,1000,50
,,2019 - 2020,Bajra,Kharif,1.0,1.0,1.0,1000,50
,,2019 - 2020,Barley,Rabi,34.0,80.0,2.35,1000,50
,,2019 - 2020,Gram,Rabi,16913.0,21091.0,1.25,1000,50
,,2019 - 2020,Groundnut,Kharif,334.0,235.0,0.7,1000,50
,,2019 - 2020,Jowar,Kharif,142.0,139.0,0.98,1000,50
,,2019 - 2020,Linseed,Rabi,64.0,37.0,0.58,1000,50
,,2019 - 2020,Maize,Kharif,2682.0,2065.0,0.77,1000,50
,,2019 - 2020,Masoor,Rabi,7826.0,2376.0,0.3,1000,50
,,2019 - 2020,Moong(Green Gram),Kharif,107.0,36.0,0.34,1000,50
,,2019 - 2020,Peas & beans (Pulses),Rabi,24.0,7.0,0.29,1000,50
,,2019 - 2020,Rapeseed &Mustard,Rabi,3625.0,2541.0,0.7,1000,50
,,2019 - 2020,Soyabean,Kharif,171309.0,120259.0,0.7,1000,50
,,2019 - 2020,Urad,Kharif,4853.0,1719.0,0.35,1000,50
,,2019 - 2020,Wheat,Rabi,126577.0,569597.0,4.5,1000,50
,,2019 - 2020,Sesamum,Kharif,46.0,10.0,0.22,1000,50
,,2020 - 2021,Arhar/Tur,Kharif,51.0,20.0,0.39,1000,50
,,2020 - 2021,Barley,Rabi,40.0,90.0,2.25,1000,50
,,2020 - 2021,Gram,Rabi,15531.0,25471.0,1.64,1000,50
,,2020 - 2021,Groundnut,Kharif,298.0,357.0,1.2,1000,50
,,2020 - 2021,Jowar,Kharif,264.0,342.0,1.3,1000,50
,,2020 - 2021,Linseed,Rabi,49.0,33.0,0.67,1000,50
,,2020 - 2021,Maize,Kharif,5188.0,6023.0,1.16,1000,50
,,2020 - 2021,Masoor,Rabi,16400.0,19516.0,1.19,1000,50
,,2020 - 2021,Moong(Green Gram),Kharif,90.0,39.0,0.43,1000,50
,,2020 - 2021,Peas & beans (Pulses),Rabi,34.0,39.0,1.15,1000,50
,,2020 - 2021,Rapeseed &Mustard,Rabi,5332.0,9278.0,1.74,1000,50
,,2020 - 2021,Rice,Kharif,5.0,2.67,0.53,1000,50
,,2020 - 2021,Soyabean,Kharif,172726.0,92581.0,0.54,1000,50
,,2020 - 2021,Urad,Kharif,4244.0,1375.0,0.32,1000,50
,,2020 - 2021,Wheat,Rabi,104738.0,233252.0,2.23,1000,50
,,2020 - 2021,Sesamum,Kharif,108.0,74.0,0.69,1000,50
,,2021 - 2022,Arhar/Tur,Kharif,25.0,10.0,0.4,1000,50
,,2021 - 2022,Barley,Rabi,3.0,5.0,1.67,1000,50
,,2021 - 2022,Gram,Rabi,4980.0,5314.0,1.07,1000,50
,,2021 - 2022,Groundnut,Kharif,324.0,393.0,1.21,1000,50
,,2021 - 2022,Jowar,Kharif,421.0,636.0,1.51,1000,50
,,2021 - 2022,Linseed,Rabi,49.0,37.0,0.76,1000,50
,,2021 - 2022,Maize,Kharif,3738.0,6658.0,1.78,1000,50
,,2021 - 2022,Masoor,Rabi,5667.0,3174.0,0.56,1000,50
,,2021 - 2022,Moong(Green Gram),Kharif,172.0,58.0,0.34,1000,50
,,2021 - 2022,Peas & beans (Pulses),Rabi,4.0,2.0,0.5,1000,50
,,2021 - 2022,Rapeseed &Mustard,Rabi,8406.0,7204.0,0.86,1000,50
,,2021 - 2022,Soyabean,Kharif,174127.0,107088.0,0.61,1000,50
,,2021 - 2022,Urad,Kharif,2868.0,1101.0,0.38,1000,50
,,2021 - 2022,Wheat,Rabi,127140.0,322936.0,2.54,1000,50
,,2021 - 2022,Sesamum,Kharif,44.0,16.0,0.36,1000,50
,,2022 - 2023,Bajra,Kharif,1.0,1.0,1.0,1000,50
,,2022 - 2023,Gram,Rabi,7900.0,8058.0,1.02,1000,50
,,2022 - 2023,Groundnut,Kharif,133.0,177.0,1.33,1000,50
,,2022 - 2023,Jowar,Kharif,119.0,192.0,1.61,1000,50
,,2022 - 2023,Linseed,Rabi,390.0,277.0,0.71,1000,50
,,2022 - 2023,Maize,Kharif,1868.0,6126.0,3.28,1000,50
,,2022 - 2023,Masoor,Rabi,14360.0,8042.0,0.56,1000,50
,,2022 - 2023,Moong(Green Gram),Kharif,80.0,42.0,0.53,1000,50
,,2022 - 2023,Rapeseed &Mustard,Rabi,8926.0,9283.0,1.04,1000,50
,,2022 - 2023,Rice,Kharif,7.0,14.0,2.0,1000,50
,,2022 - 2023,Soyabean,Kharif,182008.0,147426.0,0.81,1000,50
,,2022 - 2023,Urad,Kharif,575.0,221.0,0.38,1000,50
,,2022 - 2023,Wheat,Rabi,124362.0,328316.0,2.64,1000,50
,,2022 - 2023,Sesamum,Kharif,28.0,13.0,0.46,1000,50
,2. Alirajpur,2008 - 2009,Arhar/Tur,Kharif,2421.0,1270.0,0.52,1000,50
,2. Alirajpur,2008 - 2009,Bajra,Kharif,16862.0,11650.0,0.69,1000,50
,2. Alirajpur,2008 - 2009,Barley,Rabi,11.0,11.0,1.0,1000,50
,2. Alirajpur,2008 - 2009,Gram,Rabi,7912.0,4415.0,0.56,1000,50
,2. Alirajpur,2008 - 2009,Groundnut,Kharif,10627.0,10717.0,1.01,1000,50
,2. Alirajpur,2008 - 2009,Jowar,Kharif,13113.0,13442.0,1.03,1000,50
,2. Alirajpur,2008 - 2009,Jowar,Rabi,1055.0,1252.0,1.19,1000,50
,2. Alirajpur,2008 - 2009,Maize,Kharif,37707.0,45428.0,1.2,1000,50
,2. Alirajpur,2008 - 2009,Peas & beans (Pulses),Rabi,17.0,9.0,0.53,1000,50
,2. Alirajpur,2008 - 2009,Rice,Kharif,7665.0,3561.0,0.46,1000,50
,2. Alirajpur,2008 - 2009,Sannhamp,Kharif,37.0,17.0,0.46,1000,50
,2. Alirajpur,2008 - 2009,Soyabean,Kharif,11244.0,8536.0,0.76,1000,50
,2. Alirajpur,2008 - 2009,Urad,Kharif,56305.0,27252.0,0.48,1000,50
,2. Alirajpur,2008 - 2009,Wheat,Rabi,14047.0,25303.0,1.8,1000,50
,2. Alirajpur,2008 - 2009,Castor seed,Kharif,482.0,202.0,0.42,1000,50
,2. Alirajpur,2008 - 2009,Cotton(lint),Kharif,5122.0,,,1000,50
,2. Alirajpur,2008 - 2009,Horse-gram,Kharif,10047.0,4340.0,0.43,1000,50
,,2009 - 2010,Jowar,Kharif,13372.0,15520.0,1.16,1000,50
,,2009 - 2010,Jowar,Rabi,1448.0,1869.0,1.29,1000,50
,,2009 - 2010,Moong(Green Gram),Kharif,1292.0,485.0,0.38,1000,50
,,2009 - 2010,Moong(Green Gram),Rabi,58.0,15.0,0.26,1000,50
,,2009 - 2010,Urad,Kharif,54620.0,27337.0,0.5,1000,50
,,2009 - 2010,Horse-gram,Kharif,9466.0,3832.0,0.4,1000,50
,,2009 - 2010,Small millets,Kharif,1892.0,459.0,0.24,1000,50
,,2010 - 2011,Arhar/Tur,Kharif,2722.0,787.0,0.29,1000,50
,,2010 - 2011,Bajra,Kharif,16271.0,11789.0,0.72,1000,50
,,2010 - 2011,Barley,Rabi,3.0,3.0,1.0,1000,50
,,2010 - 2011,Gram,Rabi,9160.0,5085.0,0.56,1000,50
,,2010 - 2011,Groundnut,Kharif,10094.0,12298.0,1.22,1000,50
,,2010 - 2011,Jowar,Kharif,13954.0,17750.0,1.27,1000,50
,,2010 - 2011,Jowar,Rabi,1290.0,1551.0,1.2,1000,50
,,2010 - 2011,Linseed,Rabi,3.0,2.0,0.67,1000,50
,,2010 - 2011,Maize,Kharif,38468.0,43669.0,1.14,1000,50
,,2010 - 2011,Moong(Green Gram),Kharif,1672.0,628.0,0.38,1000,50
,,2010 - 2011,Moong(Green Gram),Rabi,92.0,18.0,0.2,1000,50
,,2010 - 2011,Other Kharif pulses,Kharif,818.0,207.0,0.25,1000,50
,,2010 - 2011,Peas & beans (Pulses),Rabi,15.0,5.0,0.33,1000,50
,,2010 - 2011,Rice,Kharif,7122.0,5226.0,0.73,1000,50
,,2010 - 2011,Soyabean,Kharif,15590.0,12022.0,0.77,1000,50
,,2010 - 2011,Urad,Kharif,53651.0,26852.0,0.5,1000,50
,,2010 - 2011,Wheat,Rabi,15612.0,28584.0,1.83,1000,50
,,2010 - 2011,Castor seed,Kharif,542.0,235.0,0.43,1000,50
,,2010 - 2011,Cotton(lint),Kharif,5348.0,,,1000,50
,,2010 - 2011,Horse-gram,Kharif,8698.0,3698.0,0.43,1000,50
,,2010 - 2011,Small millets,Kharif,1609.0,452.0,0.28,1000,50
,,2011 - 2012,Arhar/Tur,Kharif,2677.0,1006.0,0.38,1000,50
,,2011 - 2012,Bajra,Kharif,15630.0,11110.0,0.71,1000,50
,,2011 - 2012,Barley,Kharif,10.0,12.0,1.2,1000,50
,,2011 - 2012,Gram,Rabi,8123.0,4053.0,0.5,1000,50
,,2011 - 2012,Groundnut,Kharif,10139.0,11719.0,1.16,1000,50
,,2011 - 2012,Jowar,Kharif,13694.0,14990.0,1.09,1000,50
,,2011 - 2012,Jowar,Rabi,1010.0,1323.0,1.31,1000,50
,,2011 - 2012,Maize,Kharif,38919.0,31776.0,0.82,1000,50
,,2011 - 2012,Moong(Green Gram),Kharif,1501.0,378.0,0.25,1000,50
